identifiant GO	définition	occurence	pvalue
GO:0000921	P:septin ring assembly	{'GO:0000006': 0}	1.0
GO:0000935	C:division septum	{'GO:0000006': 0}	1.0
GO:0000967	P:rRNA 5'-end processing	{'GO:0000006': 0}	1.0
GO:0000976	F:transcription regulatory region sequence-specific DNA binding	{'GO:0000006': 0}	1.0
GO:0000984	F:bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding	{'GO:0000006': 0}	1.0
GO:0000985	F:bacterial-type RNA polymerase core promoter sequence-specific DNA binding	{'GO:0000006': 0}	1.0
GO:0000986	F:bacterial-type cis-regulatory region sequence-specific DNA binding	{'GO:0000006': 0}	1.0
GO:0001000	F:bacterial-type RNA polymerase core enzyme binding	{'GO:0000006': 0}	1.0
GO:0001072	F:transcription antitermination factor activity, RNA binding	{'GO:0000006': 0}	1.0
GO:0001073	F:transcription antitermination factor activity, DNA binding	{'GO:0000006': 0}	1.0
GO:0001108	F:bacterial-type RNA polymerase holo enzyme binding	{'GO:0000006': 0}	1.0
GO:0001121	P:bacterial transcription	{'GO:0000006': 0}	1.0
GO:0001123	P:transcription initiation from bacterial-type RNA polymerase promoter	{'GO:0000006': 0}	1.0
GO:0001124	P:transcription elongation from bacterial-type RNA polymerase promoter	{'GO:0000006': 0}	1.0
GO:0001125	P:transcription termination from bacterial-type RNA polymerase promoter	{'GO:0000006': 0}	1.0
GO:0001216	F:DNA-binding transcription activator activity	{'GO:0000006': 0}	1.0
GO:0001217	F:DNA-binding transcription repressor activity	{'GO:0000006': 0}	1.0
GO:0001228	F:DNA-binding transcription activator activity, RNA polymerase II-specific	{'GO:0000006': 0}	1.0
GO:0001406	F:glycerophosphodiester transmembrane transporter activity	{'GO:0000006': 0}	1.0
GO:0001407	P:glycerophosphodiester transmembrane transport	{'GO:0000006': 0}	1.0
GO:0001510	P:RNA methylation	{'GO:0000006': 0}	1.0
GO:0001514	P:selenocysteine incorporation	{'GO:0000006': 0}	1.0
GO:0001522	P:pseudouridine synthesis	{'GO:0000006': 0}	1.0
GO:0001530	F:lipopolysaccharide binding	{'GO:0000006': 0}	1.0
GO:0001558	P:regulation of cell growth	{'GO:0000006': 0}	1.0
GO:0001561	P:fatty acid alpha-oxidation	{'GO:0000006': 0}	1.0
GO:0001618	F:virus receptor activity	{'GO:0000006': 0}	1.0
GO:0001671	F:ATPase activator activity	{'GO:0000006': 0}	1.0
GO:0001680	P:tRNA 3'-terminal CCA addition	{'GO:0000006': 0}	1.0
GO:0001681	F:sialate O-acetylesterase activity	{'GO:0000006': 0}	1.0
GO:0001682	P:tRNA 5'-leader removal	{'GO:0000006': 0}	1.0
GO:0001727	F:lipid kinase activity	{'GO:0000006': 0}	1.0
GO:0001731	P:formation of translation preinitiation complex	{'GO:0000006': 0}	1.0
GO:0001761	F:beta-alanine transmembrane transporter activity	{'GO:0000006': 0}	1.0
GO:0001762	P:beta-alanine transport	{'GO:0000006': 0}	1.0
GO:0001883	F:purine nucleoside binding	{'GO:0000006': 0}	1.0
GO:0001884	F:pyrimidine nucleoside binding	{'GO:0000006': 0}	1.0
GO:0001887	P:selenium compound metabolic process	{'GO:0000006': 0}	1.0
GO:0001896	P:autolysis	{'GO:0000006': 0}	1.0
GO:0001897	P:cytolysis by symbiont of host cells	{'GO:0000006': 0}	1.0
GO:0001932	P:regulation of protein phosphorylation	{'GO:0000006': 0}	1.0
GO:0001933	P:negative regulation of protein phosphorylation	{'GO:0000006': 0}	1.0
GO:0002020	F:protease binding	{'GO:0000006': 0}	1.0
GO:0002047	P:phenazine biosynthetic process	{'GO:0000006': 0}	1.0
